name,latitude,elevation,location,last_updated
Thuniabhand Airport,22.00160027,2182,Unknown,2008-06-13T14:30:04+00:00
Band Tal Airport,26.00009918,790,Unknown,2008-06-13T14:30:04+00:00
Cuttack Airport,20.5496006,115,Unknown,2008-06-13T14:30:04+00:00
Jharsuguda Airport,21.91349983,751,Unknown,2008-06-13T14:30:04+00:00
Utkela Airport,20.09740067,680,Unknown,2008-06-13T14:30:04+00:00
Jallowal Airport,31.55999947,741,Unknown,2008-06-13T14:30:04+00:00
Halwara Air Force Station,30.74850082,790,Unknown,2008-06-13T14:30:04+00:00
Ondwa Airport,25.14150047,1450,Unknown,2008-06-13T14:30:04+00:00
Phalodi Airport,27.11289978,781,Unknown,2008-06-13T14:30:04+00:00
Sirohi Airport,24.89509964,1000,Unknown,2008-06-13T14:30:04+00:00
Banswara Airport,23.5897007,700,Unknown,2008-06-13T14:30:04+00:00
Abu Road Airport,24.49419975,875,Unknown,2008-06-13T14:30:04+00:00
Suratgarh New Airport,29.38780022,554,Unknown,2008-06-13T14:30:04+00:00
Jhunjhunu Airport,28.1067009,1110,Unknown,2008-06-13T14:30:04+00:00
Pilani New Airport,28.34880066,1100,Unknown,2008-06-13T14:30:04+00:00
Nagaur Airport,27.20829964,950,Unknown,2008-06-13T14:30:04+00:00
Kovilpatti Airport,9.153889656,325,Unknown,2008-06-13T14:30:04+00:00
Hosur Airport,12.66129971,3116,Unknown,2008-06-13T14:30:04+00:00
Arkonam Airport,13.07120037,265,Unknown,2010-04-25T19:11:47+00:00
Kamalpur Airport,24.13170052,131,Unknown,2008-06-13T14:30:04+00:00
Muirpur Airport,24.12520027,1122,Unknown,2008-06-13T14:30:04+00:00
Meerut Sw Airport,28.9048996,732,Unknown,2008-06-13T14:30:04+00:00
Bharkot Airport,30.58289909,2983,Unknown,2008-06-13T14:30:04+00:00
Akbarpur Airport,26.44759941,288,Unknown,2008-06-13T14:30:04+00:00
Pithorgarh Airport,29.59359932,4910,Unknown,2008-06-13T14:30:04+00:00
Hindon Air Force Station,28.70770073,700,Unknown,2008-06-13T14:30:04+00:00
Jhansi Airport,25.49119949,801,Unknown,2008-06-13T14:30:04+00:00
Sarsawa Air Force Station,29.9939003,891,Unknown,2008-06-13T14:30:04+00:00
Burnpur Airport,23.63150024,310,Unknown,2008-06-13T14:30:04+00:00
Adampur Airport,31.4338,775,Adampur,2018-05-19T18:45:26+00:00
Lengpui Airport,23.84059906,1398,Aizawl,2012-08-18T16:41:43+00:00
Balurghat Airport,25.26169968,78,Balurghat,2008-06-13T14:30:04+00:00
Barrackpore Air Force Station,22.78100014,18,Barrackpore,2010-12-28T13:59:33+00:00
Behala Airport,22.5042305,10,Behala,2009-04-19T09:31:13+00:00
Tambaram Air Force Station,12.90719986,90,Chennai,2008-06-13T14:30:04+00:00
Chabua Air Force Station,27.46220016,367,Dibrugarh,2008-06-13T14:30:04+00:00
Dunakonda Airport,15.8063,472,Dunakonda,2015-05-13T05:54:06+00:00
Jagdalpur Airport,19.07430077,1822,Jagdalpur,2008-06-13T14:30:04+00:00
Jeypore Airport,18.87999916,1952,Jeypore,2008-06-13T14:30:04+00:00
IIT Kanpur Airport,26.520399,400,Kalyanpur,2018-05-01T01:11:23+00:00
Khowai Airport,24.061899,95,Khowai,2018-04-30T12:02:58+00:00
Lalitpur Airport,24.71699905,1204,Lalitpur,2008-06-13T14:30:04+00:00
Murod Kond Airport,18.411501,2136,Latur,2018-04-30T11:16:59+00:00
Bakshi Ka Talab Air Force Station,26.98830032,385,Lucknow,2008-06-13T14:30:04+00:00
Malda Airport,25.033001,79,Malda,2018-04-30T12:02:27+00:00
Mysore Airport,12.23,2349,Mysore,2018-05-11T06:53:51+00:00
